iteration,total_timesteps,loss,approx_kl,explained_variance,entropy_loss,learning_rate
59,483328,13.169747352600098,0.0073383683,0.9804285690188408,-10.085782122611999,<function linear_schedule.<locals>.func at 0x0000020697778720>
60,491520,11.768770217895508,0.0064068614,0.905201867222786,-10.108175238966941,<function linear_schedule.<locals>.func at 0x0000020697778720>
61,499712,683.9009399414062,0.0057296595,0.9486578404903412,-10.134751634299755,<function linear_schedule.<locals>.func at 0x0000020697778720>
62,507904,2332.95751953125,0.005389526,0.9423739723861217,-10.148555028438569,<function linear_schedule.<locals>.func at 0x0000020697778720>
63,516096,1956.3563232421875,0.006347324,0.9315403178334236,-10.167615734040737,<function linear_schedule.<locals>.func at 0x0000020697778720>
64,524288,2046.3304443359375,0.006401575,0.8886779770255089,-10.201760154962539,<function linear_schedule.<locals>.func at 0x0000020697778720>
65,532480,2202.76123046875,0.0066368356,0.8549566268920898,-10.18383876979351,<function linear_schedule.<locals>.func at 0x0000020697778720>
66,540672,2242.475341796875,0.0055643916,0.8683886229991913,-10.150850337743758,<function linear_schedule.<locals>.func at 0x0000020697778720>
67,548864,2237.271484375,0.0059070503,0.9454939030110836,-10.11139943599701,<function linear_schedule.<locals>.func at 0x0000020697778720>
68,557056,1858.1849365234375,0.0070703286,0.9390635266900063,-10.070977585017681,<function linear_schedule.<locals>.func at 0x0000020697778720>
69,565248,1528.1163330078125,0.00624747,0.9447647072374821,-10.070366032421589,<function linear_schedule.<locals>.func at 0x0000020697778720>
70,573440,1909.4783935546875,0.006262257,0.9176995158195496,-10.079290316998959,<function linear_schedule.<locals>.func at 0x0000020697778720>
71,581632,2011.0738525390625,0.005888625,0.9443496204912663,-10.061958579719066,<function linear_schedule.<locals>.func at 0x0000020697778720>
72,589824,3531.929931640625,0.0049354285,0.9514009244740009,-10.042018124461174,<function linear_schedule.<locals>.func at 0x0000020697778720>
73,598016,31.674970626831055,0.005843511,0.96327930316329,-10.033636730909347,<function linear_schedule.<locals>.func at 0x0000020697778720>
74,606208,60.946250915527344,0.006626943,0.9335170686244965,-10.030083541572093,<function linear_schedule.<locals>.func at 0x0000020697778720>
75,614400,25.727985382080078,0.00850075,0.955125879496336,-10.020876216888428,<function linear_schedule.<locals>.func at 0x0000020697778720>
